dir samples originSite_finalSite_experiment
4_trueTransplant abundance_adult_may2018_gm_gm_bck_15873X22_trimmed gm_gm_bck
4_trueTransplant abundance_adult_may2018_gm_gm_bck_15873X31_trimmed gm_gm_bck
4_trueTransplant abundance_adult_may2018_gm_gm_bck_15941X16_trimmed gm_gm_bck
4_trueTransplant abundance_adult_may2018_pv_pv_bck_15873X19_trimmed pv_pv_bck
4_trueTransplant abundance_adult_may2018_pv_pv_bck_15941X42_trimmed pv_pv_bck
4_trueTransplant abundance_adult_may2018_pv_pv_bck_15941X52_trimmed pv_pv_bck
4_trueTransplant abundance_adult_may2018_sp_sp_bck_15873X26_trimmed sp_sp_bck
4_trueTransplant abundance_adult_may2018_sp_sp_bck_15873X43_trimmed sp_sp_bck
4_trueTransplant abundance_adult_may2018_sp_sp_bck_15941X31_trimmed sp_sp_bck
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15873X32_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15873X8_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X20_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X40_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_pv_trt_15941X7_trimmed gm_pv_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X25_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X3_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15873X42_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15941X30_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_gm_sp_trt_15941X3_trimmed gm_sp_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15873X29_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15873X6_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X18_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X34_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_pv_gm_trt_15941X6_trimmed pv_gm_trt
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15873X27_trimmed sp_gm_trt
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15873X4_trimmed sp_gm_trt
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15941X32_trimmed sp_gm_trt
4_trueTransplant abundance_adult_may2018_sp_gm_trt_15941X4_trimmed sp_gm_trt
