samples originSite_finalSite_experiment 
abundance_adult_sept2018_gm_gm_bck_15941X28_trimmed gm_gm_bck
abundance_adult_sept2018_gm_gm_bck_15941X46_trimmed gm_gm_bck
abundance_adult_sept2018_gm_gm_bck_15941X54_trimmed gm_gm_bck
abundance_adult_sept2018_gm_gm_gas_15873X11_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15873X16_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15873X38_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X11_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X12_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X26_trimmed gm_gm_gas
abundance_adult_sept2018_gm_gm_gas_15941X50_trimmed gm_gm_gas
abundance_adult_sept2018_gm_sp_gas_15873X17_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15873X37_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X10_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X24_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X25_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X44_trimmed gm_sp_gas
abundance_adult_sept2018_gm_sp_gas_15941X57_trimmed gm_sp_gas
abundance_adult_sept2018_gm_pv_gas_15873X15_trimmed gm_pv_gas
abundance_adult_sept2018_gm_pv_gas_15873X23_trimmed gm_pv_gas
abundance_adult_sept2018_gm_pv_gas_15873X46_trimmed gm_pv_gas
abundance_adult_sept2018_gm_pv_gas_15873X49_trimmed gm_pv_gas
abundance_adult_sept2018_gm_pv_gas_15873X50_trimmed gm_pv_gas
abundance_adult_sept2018_gm_pv_gas_15941X14_trimmed gm_pv_gas
abundance_adult_sept2018_gm_pv_gas_15941X38_trimmed gm_pv_gas
