samples originSite_finalSite_experiment 
abundance_adult_sept2018_sp_sp_bck_15873X20_trimmed sp_sp_bck
abundance_adult_sept2018_sp_sp_bck_15941X48_trimmed sp_sp_bck
abundance_adult_sept2018_sp_sp_bck_15941X53_trimmed sp_sp_bck
abundance_adult_sept2018_sp_sp_gas_15873X10_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15873X34_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15873X36_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15941X23_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15941X43_trimmed sp_sp_gas
abundance_adult_sept2018_sp_sp_gas_15941X9_trimmed sp_sp_gas
abundance_adult_sept2018_sp_gm_gas_15873X13_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15873X44_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15873X45_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X35_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X36_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X49_trimmed sp_gm_gas
abundance_adult_sept2018_sp_gm_gas_15941X56_trimmed sp_gm_gas
