samples originSite_finalSite_experiment
abundance_adult_may2018_sp_sp_bck_15873X26_trimmed sp_sp_bck
abundance_adult_may2018_sp_sp_bck_15873X43_trimmed sp_sp_bck
abundance_adult_may2018_sp_sp_bck_15941X31_trimmed sp_sp_bck
abundance_adult_may2018_sp_sp_tro_15873X24_trimmed sp_sp_tro
abundance_adult_may2018_sp_sp_tro_15873X2_trimmed sp_sp_tro
abundance_adult_may2018_sp_sp_tro_15873X41_trimmed sp_sp_tro
abundance_adult_may2018_sp_sp_tro_15941X29_trimmed sp_sp_tro
abundance_adult_may2018_sp_sp_tro_15941X2_trimmed sp_sp_tro
abundance_adult_may2018_gm_sp_trt_15873X25_trimmed gm_sp_trt
abundance_adult_may2018_gm_sp_trt_15873X3_trimmed gm_sp_trt
abundance_adult_may2018_gm_sp_trt_15873X42_trimmed gm_sp_trt
abundance_adult_may2018_gm_sp_trt_15941X30_trimmed gm_sp_trt
abundance_adult_may2018_gm_sp_trt_15941X3_trimmed gm_sp_trt
